측정ID,시각,지점명,권역,위도,경도,Ta,RH,v,Tmrt,PET,Ts,볕,태양고도,SVF,TVF,BVF,앱_SVF,앱_GVI,앱_BVI,앱_유효,앱_입력_기온,앱_입력_풍속,앱_입력_습도,실측당시_앱pVPTI,엔진예측_PET,엔진예측_Tmrt,tier3_svf,tier3_gvi,tier3_bvi,ndvi30,lst30,run_A_Tmrt,run_A_PET,run_B_Tmrt,run_B_PET,run_C_Tmrt,run_C_PET,run_D_Tmrt,run_D_PET,cloud,cloud_src,run_A_Tmrt,run_A_PET,run_B_Tmrt,run_B_PET,run_C_Tmrt,run_C_PET,run_D_Tmrt,run_D_PET
20260820_서제2동_12,2026-08-20 13:23:00,서제2동,서제2동,35.21606,129.09883,34.1,43.4,1.1,59.01,44.41,37.11,1,64.0,0.7818,0.0244,0.1938,0.978,0.0,0.361,유효,32.0,2.1,56,31.8,43.0,68.23,0.5748,0.0161,0.5302,0.0874085022351994,49.17597601439516,54.06,35.99,46.75,34.25,49.11,38.21,53.25,39.93,0.9,실측(운량),54.06,35.99,46.75,34.25,49.11,38.21,53.25,39.93
20260820_서제2동_13,2026-08-20 13:26:00,서제2동,서제2동,35.2159,129.09886,35.2,43.7,0.9,53.91,43.86,46.86,0,63.6,0.5064,0.0845,0.409,0.057,0.0,0.672,유효,32.0,2.1,56,30.3,39.2,47.84,0.5393,0.0131,0.5303,0.1045065717854444,49.00931987181137,34.64,30.94,45.51,33.88,48.9,39.92,47.96,39.5,0.9,실측(운량),34.64,30.94,45.51,33.88,48.9,39.92,47.96,39.5
20260820_서제2동_14,2026-08-20 13:30:00,서제2동,서제2동,35.21562,129.0986,33.5,49.2,0.7,44.72,39.26,35.3,0,63.1,0.6973,0.0481,0.2545,0.057,0.0,0.672,무효-인근대체(48m),32.0,2.1,56,30.3,37.9,46.85,0.4167,0.0132,0.5438,0.1095624524377982,48.7309364133885,34.61,30.94,42.93,33.18,44.85,37.66,50.77,40.36,0.9,실측(운량),34.61,30.94,42.93,33.18,44.85,37.66,50.77,40.36
20260820_서제2동_15,2026-08-20 13:33:00,서제2동,서제2동,35.21545,129.09849,33.9,46.9,0.6,46.27,40.39,47.95,0,62.8,0.4644,0.0465,0.4891,0.502,0.0,0.616,유효,32.0,2.1,56,31.5,38.0,46.48,0.3547,0.014,0.5444,0.1270173584874489,48.44309523176669,44.67,33.64,41.58,32.8,43.8,37.66,46.13,38.7,0.9,실측(운량),44.67,33.64,41.58,32.8,43.8,37.66,46.13,38.7
20260820_서제2동_16,2026-08-20 13:36:00,서제2동,서제2동,35.21559,129.09735,34.4,45.6,1.2,45.93,39.23,50.99,0,62.4,0.5096,0.0103,0.4801,0.179,0.015,0.552,유효,32.0,2.1,56,31.1,38.3,46.97,0.2898,0.0,0.5196,0.1669127032748405,47.11002182334529,37.56,31.64,40.14,32.39,42.49,36.06,47.27,37.93,0.9,실측(운량),37.56,31.64,40.14,32.39,42.49,36.06,47.27,37.93
20260820_서제2동_17,2026-08-20 13:39:00,서제2동,서제2동,35.21582,129.09658,35.0,44.6,0.0,39.98,40.31,52.98,1,62.0,0.6044,0.0123,0.3832,0.22,0.0,0.568,유효,32.0,2.1,56,30.6,45.1,71.69,0.4379,0.0145,0.5352,0.131456427233122,46.8305578132601,39.02,32.09,43.7,33.41,47.39,43.78,51.13,45.99,0.9,실측(운량),39.02,32.09,43.7,33.41,47.39,43.78,51.13,45.99
20260820_서제2동_18,2026-08-20 13:42:00,서제2동,서제2동,35.21608,129.0957,34.9,44.0,0.4,56.08,46.8,57.95,1,61.6,0.5758,0.0362,0.3879,0.955,0.015,0.338,유효,32.6,1.5,53,33.6,44.6,70.29,0.9344,0.0245,0.3326,0.1371047145533625,47.96014483493577,54.14,37.58,53.78,37.49,56.87,45.95,49.95,42.24,0.9,실측(운량),54.14,37.58,53.78,37.49,56.87,45.95,49.95,42.24
20260826_부암제1동_01,2026-08-26 15:06:00,부암제1동,부암제1동,35.1629,129.0467,38.7,40.6,0.0,51.37,48.95,45.81,0,46.0,0.5417,0.0268,0.4315,0.999,0.001,0.343,무효-인근대체(51m),33.6,1.1,58,46.6,41.9,46.27,0.7833,0.0198,0.4769,0.1358335563772725,,45.62,37.35,45.73,37.67,51.7,48.39,51.86,48.47,0.0,실측(일사),45.62,37.35,45.73,37.67,51.7,48.39,51.86,48.47
20260826_부암제1동_02,2026-08-26 15:03:00,부암제1동,부암제1동,35.1628,129.0462,36.4,47.8,1.0,58.27,47.37,55.41,1,46.5,0.7652,0.0694,0.1654,0.404,0.035,0.097,무효-인근대체(43m),33.6,1.1,58,47.8,45.2,66.01,0.7687,0.0414,0.1869,0.0853764159545692,,51.01,40.35,55.63,41.65,58.34,46.16,58.09,46.04,0.6974,실측(일사),51.01,40.35,55.63,41.65,58.34,46.16,58.09,46.04
20260826_부암제1동_03,2026-08-26 15:00:00,부암제1동,부암제1동,35.1629,129.0453,38.3,43.0,0.0,49.2,47.71,53.36,0,47.1,0.6498,0.0283,0.3219,0.024,0.002,0.174,무효-분석부실,33.6,1.1,58,38.8,41.9,46.65,0.8976,0.0209,0.2685,0.0492777697305255,,39.39,36.12,52.86,40.23,58.52,51.56,55.3,49.99,0.6974,실측(일사),39.39,36.12,52.86,40.23,58.52,51.56,55.3,49.99
20260826_부암제1동_04,2026-08-26 14:57:00,부암제1동,부암제1동,35.1633,129.0448,38.6,41.8,0.0,52.0,49.24,60.1,1,47.6,0.8804,0.0489,0.0707,0.0,0.059,0.211,무효-분석부실,33.6,1.1,58,38.6,47.9,69.75,0.8668,0.0162,0.4345,0.2262346266797094,,44.11,38.01,57.09,42.06,63.08,53.93,62.93,53.85,0.6974,실측(일사),44.11,38.01,57.09,42.06,63.08,53.93,62.93,53.85
20260826_부암제1동_05,2026-08-26 14:53:00,부암제1동,부암제1동,35.1638,129.0441,36.5,47.3,0.6,54.03,46.66,57.25,0,48.4,0.8573,0.0329,0.1098,0.0,0.059,0.211,무효-분석부실,33.6,1.1,58,38.3,40.5,46.27,0.6986,0.0582,0.4556,0.1982783498818098,50.91834226446897,38.85,35.91,50.53,39.64,53.72,45.31,55.94,46.45,0.6974,실측(일사),38.85,35.91,50.53,39.64,53.72,45.31,55.94,46.45
20260826_부암제1동_06,2026-08-26 14:50:00,부암제1동,부암제1동,35.1631,129.0444,38.1,42.0,0.0,53.51,49.82,60.01,1,48.9,0.8649,0.0089,0.1262,0.0,0.059,0.211,무효-분석부실,33.6,1.1,58,38.3,47.6,70.26,0.6837,0.0007,0.5155,0.1732543776789738,,44.22,38.05,55.39,41.69,60.91,52.67,62.9,53.67,0.6974,실측(일사),44.22,38.05,55.39,41.69,60.91,52.67,62.9,53.67
20260826_부암제1동_07,2026-08-26 14:47:00,부암제1동,부암제1동,35.1631,129.045,38.2,42.0,0.0,50.72,48.43,62.08,1,49.5,0.827,0.0094,0.1635,0.0,0.059,0.211,무효-분석부실,33.6,1.1,58,38.3,47.8,70.57,0.8382,0.004,0.4907,0.1360822662738135,,44.38,38.11,57.27,42.19,62.95,53.72,62.78,53.64,0.6974,실측(일사),44.38,38.11,57.27,42.19,62.95,53.72,62.78,53.64
20260826_부암제1동_09,2026-08-26 14:32:00,부암제1동,부암제1동,35.1647,129.046,36.0,45.6,1.2,63.35,48.39,58.34,1,52.1,0.7796,0.0478,0.1726,0.905,0.026,0.357,무효-인근대체(80m),31.8,2.6,67,37.0,44.7,67.35,0.8915,0.0359,0.2734,0.0898113395166932,,55.33,37.05,55.14,37.03,60.23,45.58,58.88,44.95,0.6974,실측(일사),55.33,37.05,55.14,37.03,60.23,45.58,58.88,44.95
20260826_부암제1동_10,2026-08-26 14:27:00,부암제1동,부암제1동,35.1641,129.0459,36.0,47.3,0.7,62.44,49.96,61.39,1,52.9,0.9218,0.0261,0.0521,0.905,0.026,0.357,유효,31.8,2.6,67,36.4,45.5,68.44,0.8195,0.0038,0.486,0.1199967535310464,,55.48,37.1,54.66,36.99,60.52,47.79,61.46,48.29,0.6974,실측(일사),55.48,37.1,54.66,36.99,60.52,47.79,61.46,48.29
20260826_부암제1동_11,2026-08-26 14:25:00,부암제1동,부암제1동,35.1637,129.0455,37.6,45.0,0.4,59.2,50.97,56.66,1,53.3,0.7332,0.0054,0.2614,0.613,0.0,0.484,유효,31.8,2.6,67,35.7,47.6,70.78,0.9205,0.0177,0.3226,0.1329610147514601,,52.28,36.62,55.73,37.14,63.33,52.39,61.32,51.24,0.6974,실측(일사),52.28,36.62,55.73,37.14,63.33,52.39,61.32,51.24
20260826_부암제1동_12,2026-08-26 14:22:00,부암제1동,부암제1동,35.1632,129.0452,37.3,42.0,0.0,54.02,49.78,55.51,1,53.8,0.7977,0.0178,0.1845,0.613,0.0,0.484,무효-인근대체(66m),31.8,2.6,67,35.7,47.0,71.31,0.9689,0.0387,0.333,0.1283160732304291,,52.34,36.63,56.21,37.21,63.95,53.93,62.34,53.11,0.6974,실측(일사),52.34,36.63,56.21,37.21,63.95,53.93,62.34,53.11
20260826_부암제1동_13,2026-08-26 14:20:00,부암제1동,부암제1동,35.1632,129.0458,37.3,44.0,0.7,62.96,51.06,61.01,1,54.1,0.7616,0.0076,0.2308,0.768,0.086,0.561,유효,31.8,2.6,67,37.0,46.9,70.09,0.8448,0.0184,0.2946,0.0462970077736313,,53.84,36.87,55.03,37.07,61.88,49.44,60.99,48.98,0.6974,실측(일사),53.84,36.87,55.03,37.07,61.88,49.44,60.99,48.98
20260826_부암제1동_14,2026-08-26 14:17:00,부암제1동,부암제1동,35.1632,129.0464,37.3,45.4,0.8,63.41,51.08,60.2,1,54.6,0.9218,0.0092,0.069,0.827,0.23,0.286,유효,31.8,2.6,67,40.4,46.9,69.82,0.8786,0.0279,0.3996,0.1624761564669386,,53.16,36.63,54.51,36.85,61.83,49.26,62.04,49.36,0.4057,실측(일사),53.16,36.63,54.51,36.85,61.83,49.26,62.04,49.36
20260826_부암제1동_15,2026-08-26 14:13:00,부암제1동,부암제1동,35.1632,129.0472,37.3,45.3,0.0,53.12,49.33,66.44,1,55.2,0.8962,0.0083,0.0956,0.979,0.032,0.378,유효,31.8,2.6,67,41.1,47.6,71.86,0.9169,0.0078,0.4031,0.0552228663874004,,54.6,36.7,54.67,36.82,63.62,53.78,63.63,53.78,0.4057,실측(일사),54.6,36.7,54.67,36.82,63.62,53.78,63.63,53.78
20260826_부암제1동_16,2026-08-26 14:10:00,부암제1동,부암제1동,35.1626,129.0475,36.8,45.7,1.0,68.33,52.29,64.07,1,55.7,0.8999,0.0152,0.0848,0.843,0.019,0.26,유효,31.8,2.6,67,39.3,46.2,69.31,0.787,0.0277,0.221,0.0646593429132535,,54.52,36.92,54.39,36.98,60.95,47.55,61.17,47.66,0.4057,실측(일사),54.52,36.92,54.39,36.98,60.95,47.55,61.17,47.66
20260826_보수동_01,2026-08-26 13:12:00,보수동,보수동,35.1054,129.0289,32.8,60.0,1.2,45.74,39.08,47.31,0,63.2,0.5825,0.019,0.3985,0.971,0.005,0.277,무효-인근대체(48m),33.0,2.1,69,34.9,37.9,46.27,0.5817,0.0182,0.5079,0.0966156914859722,43.69283175206243,46.38,37.0,46.26,37.43,46.89,37.82,46.89,37.82,0.0,실측(일사),46.38,37.0,46.26,37.43,46.89,37.82,46.89,37.82
20260826_보수동_02,2026-08-26 13:09:00,보수동,보수동,35.106,129.03,32.0,61.7,0.5,41.29,38.21,45.47,0,63.4,0.6779,0.0106,0.3115,0.356,0.0,0.626,무효-인근대체(56m),33.0,2.1,69,45.7,37.5,45.86,0.5955,0.0203,0.5644,0.0705083644811401,45.01424839581396,46.19,37.68,46.25,37.41,47.24,39.63,47.3,39.66,0.0,실측(일사),46.19,37.68,46.25,37.41,47.24,39.63,47.3,39.66
20260826_보수동_03,2026-08-26 13:04:00,보수동,보수동,35.1068,129.0311,34.0,55.5,1.1,47.94,40.99,53.26,0,63.8,0.7596,0.0074,0.233,0.47,0.01,0.638,유효,33.0,2.1,69,46.8,39.0,47.74,0.7926,0.0205,0.3992,0.1681998222941363,45.77548162087314,46.26,37.56,46.34,37.2,47.95,39.36,48.07,39.41,0.0,실측(일사),46.26,37.56,46.34,37.2,47.95,39.36,48.07,39.41
20260826_보수동_04,2026-08-26 13:01:00,보수동,보수동,35.1065,129.0312,33.6,57.3,0.0,40.01,40.59,53.14,0,64.0,0.6403,0.0897,0.27,0.47,0.01,0.638,유효,33.0,2.1,69,33.9,38.9,47.1,0.6131,0.015,0.5718,0.1135960215915223,45.53610056196064,46.27,37.57,46.34,37.42,49.72,45.52,48.91,45.04,0.0,실측(일사),46.27,37.57,46.34,37.42,49.72,45.52,48.91,45.04
20260826_보수동_05,2026-08-26 12:57:00,보수동,보수동,35.106,129.0309,33.5,62.0,0.7,51.52,43.86,50.16,1,64.3,0.5705,0.0167,0.4128,0.698,0.004,0.547,유효,32.7,2.7,71,44.2,44.9,69.93,0.729,0.0,0.533,0.083106291780395,44.42210376217002,54.03,38.86,54.03,38.8,57.87,45.7,57.88,45.7,0.0,실측(일사),54.03,38.86,54.03,38.8,57.87,45.7,57.88,45.7
20260826_보수동_06,2026-08-26 12:54:00,보수동,보수동,35.1055,129.0305,33.0,60.0,0.5,61.37,49.06,51.14,1,64.5,0.611,0.0422,0.3468,0.686,0.004,0.558,유효,32.7,2.7,71,43.4,44.1,69.61,0.6609,0.0016,0.5459,0.062909130691633,44.79750196058162,54.03,38.88,54.07,38.94,57.67,45.89,57.27,45.67,0.0,실측(일사),54.03,38.88,54.07,38.94,57.67,45.89,57.27,45.67
20260826_보수동_07,2026-08-26 12:49:00,보수동,보수동,35.105,129.0307,33.4,60.0,0.7,53.93,44.67,55.0,1,64.8,0.7249,0.0697,0.2054,0.708,0.059,0.389,유효,32.8,2.9,68,42.4,44.3,68.97,0.695,0.0303,0.4326,0.120424302715403,44.16171263021899,53.22,38.2,53.42,38.26,57.15,44.93,56.68,44.68,0.0,실측(일사),53.22,38.2,53.42,38.26,57.15,44.93,56.68,44.68
20260826_보수동_08,2026-08-26 12:44:00,보수동,보수동,35.1042,129.0293,36.0,54.0,0.0,49.71,47.13,50.68,1,65.0,0.8299,0.0723,0.0977,0.944,0.06,0.243,유효,32.8,2.9,68,43.0,47.4,72.44,0.6743,0.1394,0.2251,0.3216302262127244,45.17789321740253,52.98,37.79,52.69,38.13,59.57,51.35,60.1,51.61,0.0,실측(일사),52.98,37.79,52.69,38.13,59.57,51.35,60.1,51.61
20260826_보수동_09,2026-08-26 12:40:00,보수동,보수동,35.1047,129.029,34.7,54.4,0.7,58.69,47.67,56.02,1,65.1,0.6804,0.244,0.0756,0.885,0.09,0.283,무효-인근대체(72m),32.5,4.7,68,39.7,44.8,67.99,0.5477,0.2405,0.2442,0.6003190482935046,45.03631978972546,51.3,35.83,50.46,36.11,55.79,44.97,55.7,44.93,0.0,실측(일사),51.3,35.83,50.46,36.11,55.79,44.97,55.7,44.93
20260826_보수동_10,2026-08-26 12:35:00,보수동,보수동,35.1046,129.0281,34.1,57.0,0.5,54.23,46.05,53.12,1,65.2,0.8187,0.0692,0.1121,0.999,0.044,0.229,무효-인근대체(81m),32.5,4.7,68,40.3,45.0,69.78,0.5975,0.0755,0.4767,0.2956510710492075,45.91364726119512,51.36,35.69,51.27,36.19,57.37,46.53,57.11,46.39,0.0,실측(일사),51.36,35.69,51.27,36.19,57.37,46.53,57.11,46.39
20260826_보수동_11,2026-08-26 12:28:00,보수동,보수동,35.1042,129.0273,34.5,54.0,1.2,62.84,47.6,53.17,1,65.3,0.6978,0.0066,0.2956,0.826,0.0,0.447,유효,32.5,4.7,68,38.5,44.6,69.48,0.6952,0.0261,0.5226,0.1494835147220362,45.753496618522114,51.52,35.93,51.43,36.09,56.56,43.31,56.74,43.39,0.0,실측(일사),51.52,35.93,51.43,36.09,56.56,43.31,56.74,43.39
20260826_보수동_12,2026-08-26 12:24:00,보수동,보수동,35.1051,129.0274,35.9,49.0,0.0,51.44,47.94,55.56,1,65.3,0.718,0.0119,0.27,0.781,0.001,0.613,무효-인근대체(44m),32.5,4.7,68,40.3,46.9,73.18,0.9026,0.028,0.383,0.14639821104721,44.815059956472346,51.49,35.98,51.35,35.8,59.13,51.07,59.87,51.44,0.0,실측(일사),51.49,35.98,51.35,35.8,59.13,51.07,59.87,51.44
20260826_보수동_13,2026-08-26 12:19:00,보수동,보수동,35.1054,129.0289,34.5,52.0,0.5,52.96,45.21,54.94,1,65.3,0.6305,0.0159,0.3536,0.595,0.001,0.559,유효,32.5,4.7,68,32.8,45.2,70.94,0.5817,0.0182,0.5079,0.0966156914859722,43.69283175206243,51.47,36.22,51.38,36.22,57.67,46.42,57.62,46.39,0.0,실측(일사),51.47,36.22,51.38,36.22,57.67,46.42,57.62,46.39
20260826_보수동_14,2026-08-26 12:16:00,보수동,보수동,35.1058,129.0287,35.5,50.9,0.4,53.17,46.61,54.55,1,65.2,0.8555,0.0444,0.1001,0.971,0.005,0.277,유효,32.5,4.7,68,39.5,46.2,71.15,0.845,0.0215,0.3867,0.1026060624943007,42.80839573418925,51.39,35.72,51.35,35.87,58.27,48.3,58.01,48.16,0.0,실측(일사),51.39,35.72,51.35,35.87,58.27,48.3,58.01,48.16
20260826_보수동_15,2026-08-26 12:09:00,보수동,보수동,35.1065,129.0294,33.6,57.0,0.4,55.91,47.02,54.58,1,65.0,0.8336,0.11,0.0564,0.975,0.015,0.218,유효,32.5,4.7,68,39.1,44.3,69.09,0.8939,0.0344,0.2954,0.1603684576159181,44.062013331548485,51.28,35.69,51.21,35.78,56.4,46.16,55.78,45.83,0.0,실측(일사),51.28,35.69,51.21,35.78,56.4,46.16,55.78,45.83
20260826_보수동_16,2026-08-26 12:05:00,보수동,보수동,35.1074,129.0299,33.0,54.0,0.5,61.87,48.69,61.1,1,64.9,0.7606,0.0299,0.2094,0.975,0.015,0.218,무효-인근대체(110m),32.5,4.7,68,39.1,43.5,69.36,0.811,0.0398,0.3358,0.1431136997031206,44.03861979762783,51.29,35.7,51.19,35.88,55.37,43.87,55.59,43.99,0.0,실측(일사),51.29,35.7,51.19,35.88,55.37,43.87,55.59,43.99
20260825_용호제1동_01,2026-08-25 12:56:00,용호제1동,용호제1동,35.1247,129.1107,36.0,48.0,0.6,57.6,48.04,57.81,1,64.7,0.7768,0.0044,0.2189,0.17,0.0,0.554,유효,32.3,1.0,71,51.3,46.4,71.5,0.5798,0.0042,0.4828,0.0876216450300175,47.681830777138615,56.71,43.83,56.43,42.79,59.65,47.94,59.18,47.69,0.0,실측(일사),56.71,43.83,56.43,42.79,59.65,47.94,59.18,47.69
20260825_용호제1동_02,2026-08-25 12:51:00,용호제1동,용호제1동,35.1242,129.11,35.2,50.0,0.8,66.67,51.21,57.04,1,65.0,0.8936,0.0047,0.1017,0.837,0.0,0.316,유효,32.3,1.0,71,50.8,45.4,70.25,0.9022,0.0178,0.3186,0.0408193898133507,48.27677418543432,55.98,42.02,55.67,41.76,57.66,45.4,57.81,45.47,0.0,실측(일사),55.98,42.02,55.67,41.76,57.66,45.4,57.81,45.47
20260825_용호제1동_03,2026-08-25 12:46:00,용호제1동,용호제1동,35.1232,129.109,34.5,50.6,0.6,53.7,44.97,57.78,1,65.2,0.8535,0.0058,0.1408,0.923,0.006,0.586,유효,32.7,1.1,64,47.6,44.8,70.29,0.7476,0.0197,0.411,0.0568373567915773,46.52012524776144,55.15,40.72,55.48,41.24,57.57,45.58,57.41,45.49,0.0,실측(일사),55.15,40.72,55.48,41.24,57.57,45.58,57.41,45.49
20260825_용호제1동_04,2026-08-25 12:43:00,용호제1동,용호제1동,35.1239,129.1091,34.6,47.7,0.7,58.61,46.71,51.55,1,65.3,0.7373,0.0007,0.262,0.302,0.001,0.677,유효,32.7,1.1,64,48.6,44.6,70.37,0.608,0.0075,0.5455,0.0854924258452988,47.23115658651339,56.38,42.59,55.89,41.7,57.66,44.79,57.39,44.65,0.0,실측(일사),56.38,42.59,55.89,41.7,57.66,44.79,57.39,44.65
20260825_용호제1동_05,2026-08-25 12:41:00,용호제1동,용호제1동,35.1243,129.1092,34.1,51.0,0.7,61.71,48.17,56.72,1,65.4,0.8185,0.0021,0.1795,0.562,0.0,0.626,유효,32.7,1.1,64,50.5,44.3,69.89,0.6781,0.0037,0.5374,0.0680333790067306,47.47120968689941,56.04,41.87,55.78,41.5,57.33,44.54,56.97,44.35,0.0,실측(일사),56.04,41.87,55.78,41.5,57.33,44.54,56.97,44.35
20260825_용호제1동_06,2026-08-25 12:36:00,용호제1동,용호제1동,35.1233,129.1098,35.2,49.0,1.0,67.36,50.57,54.35,1,65.5,0.8587,0.0153,0.126,0.923,0.006,0.586,무효-인근대체(73m),32.7,1.1,64,48.5,45.0,69.81,0.7382,0.0066,0.4247,0.0339947132108455,47.15237332654789,55.0,40.65,55.45,41.23,57.4,44.39,57.03,44.22,0.0,실측(일사),55.0,40.65,55.45,41.23,57.4,44.39,57.03,44.22
20260825_용호제1동_07,2026-08-25 12:34:00,용호제1동,용호제1동,35.1229,129.1097,37.0,50.6,0.5,59.68,50.89,51.18,1,65.6,0.8873,0.0156,0.0971,0.847,0.191,0.256,유효,32.7,1.1,64,49.5,48.1,72.39,0.8161,0.0352,0.323,0.0388771439817583,46.93140596859581,53.65,40.35,55.02,40.9,60.01,50.19,60.05,50.22,0.0,실측(일사),53.65,40.35,55.02,40.9,60.01,50.19,60.05,50.22
20260825_용호제1동_08,2026-08-25 12:30:00,용호제1동,용호제1동,35.1229,129.1101,36.0,51.3,0.5,63.91,52.29,52.67,1,65.6,0.823,0.0098,0.1672,0.847,0.191,0.256,유효,32.7,1.1,64,49.5,46.9,71.81,0.4548,0.0068,0.5192,0.089656854350481,47.09538982073216,53.65,40.35,55.94,42.06,59.85,49.12,59.21,48.77,0.0,실측(일사),53.65,40.35,55.94,42.06,59.85,49.12,59.21,48.77
20260825_용호제1동_09,2026-08-25 12:27:00,용호제1동,용호제1동,35.1229,129.1103,36.9,46.0,0.3,56.12,49.42,54.99,1,65.6,0.7788,0.0951,0.1262,0.289,0.018,0.457,유효,31.3,2.6,72,42.6,47.2,71.89,0.5858,0.0078,0.5073,0.1385439690919164,47.11063099425675,52.45,37.13,52.35,36.55,60.35,50.9,58.95,50.09,0.0,실측(일사),52.45,37.13,52.35,36.55,60.35,50.9,58.95,50.09
